"ID (REG-[DOC]-[NNN])","Documento/Norma","Subtema (Matriz)","Artigo/Seção/Item","Página/Artigo Nº","Contexto","Texto Literal do Dispositivo","Marcador","Tipo","Criticidade","Aplica-se a","Status Revisão","Observações"
"REG-CBCB3682-004","Circular BCB nº 3.682/2013","A13","Art. 6º","6","Compliance do credenciador com o regulamento do arranjo","O instituidor de arranjo de pagamento é responsável por assegurar que os participantes do arranjo cumpram as normas e o regulamento do arranjo, adotando medidas corretivas em caso de descumprimento. O credenciador deve cumprir o regulamento do arranjo ao qual adere","deve cumprir","Obrigação regulatória","Alta","Credenciador","","Credenciador deve aderir e cumprir o regulamento do arranjo integralmente"
"REG-CBCB3682-005","Circular BCB nº 3.682/2013","B2","Art. 8º","8","Dois requisitos cumulativos para credenciar no SPB: autorização BCB + adesão ao arranjo","O credenciador que pretenda participar de arranjo de pagamento integrante do SPB deve ser autorizado pelo Banco Central do Brasil e aderir formalmente ao regulamento do arranjo, celebrando contrato com o instituidor","deve ser autorizado e aderir formalmente","Obrigação regulatória","Crítica","Credenciador","","Autorização BCB + contrato com bandeira — condições cumulativas obrigatórias"
"REG-CBCB3682-006","Circular BCB nº 3.682/2013","B8","Art. 10","10","Obrigação de reporte de operações ao BCB pelos participantes do arranjo","Os participantes de arranjos de pagamento integrantes do SPB devem remeter ao Banco Central do Brasil as informações sobre as operações realizadas, nas condições, prazos e formatos estabelecidos pelo BCB","devem remeter","Prazo","Alta","Credenciador","","Reporte obrigatório — base regulamentar do CADOC 6334"
"REG-CBCB3978-001","Circular BCB nº 3.978/2020 — PLD/FT","B3","Art. 1º","1","Aplicação das regras PLD/FT às IPs autorizadas pelo BCB","Esta Circular estabelece os procedimentos a serem adotados pelas instituições financeiras e demais instituições autorizadas a funcionar pelo BCB na prevenção à lavagem de dinheiro e ao financiamento do terrorismo (PLD/FT)","estabelece os procedimentos","Obrigação regulatória","Crítica","Credenciador","","Credenciadores como IPs autorizadas pelo BCB estão plenamente sujeitos à PLD/FT"
"REG-CBCB3978-002","Circular BCB nº 3.978/2020 — PLD/FT","B3","Art. 2º","2","Política PLD/FT documentada e aprovada pelos administradores","As instituições autorizadas devem manter: I - política de prevenção à lavagem de dinheiro e ao financiamento do terrorismo, aprovada pelos seus administradores; II - estrutura de governança que assegure o efetivo cumprimento da política","devem manter","Obrigação regulatória","Crítica","Credenciador","","Política PLD/FT aprovada pela diretoria — obrigação mandatória"
"REG-CBCB3978-003","Circular BCB nº 3.978/2020 — PLD/FT","B3","Art. 3º","3","KYC de estabelecimentos comerciais — coleta e atualização cadastral","As instituições autorizadas devem coletar e manter atualizadas informações cadastrais de seus clientes, incluindo identificação, qualificação, situação financeira e origem dos recursos, verificando essas informações com base em documentos e dados confiáveis de fontes independentes","devem coletar e manter atualizadas","Obrigação regulatória","Crítica","Credenciador","","KYC de merchants — credenciador deve manter cadastro atualizado de estabelecimentos"
"REG-CBCB3978-004","Circular BCB nº 3.978/2020 — PLD/FT","B3","Art. 4º","4","Diligência ordinária e reforçada conforme perfil de risco do cliente","As instituições autorizadas devem adotar procedimentos de diligência ordinária ou reforçada conforme o perfil de risco do cliente, aplicando diligência reforçada a clientes de maior risco, PEPs e operações em países de risco aumentado","devem adotar","Obrigação regulatória","Crítica","Credenciador","","Diligência reforçada para merchants de alto risco e PEPs — regra fundamental de KYC"
"REG-CBCB3978-005","Circular BCB nº 3.978/2020 — PLD/FT","B3","Art. 5º","5","Controles específicos para pessoas politicamente expostas (PEPs)","As instituições autorizadas devem adotar em relação a PEPs: I - identificação e verificação; II - aprovação por administrador sênior; III - compreensão da origem dos recursos; IV - monitoramento reforçado e contínuo","devem adotar","Obrigação regulatória","Crítica","Credenciador","","PEPs como estabelecimentos — aprovação gerencial e monitoramento intensificado obrigatórios"
"REG-CBCB3978-006","Circular BCB nº 3.978/2020 — PLD/FT","B3","Art. 6º","6","Monitoramento contínuo de transações para identificar operações suspeitas","As instituições autorizadas devem manter estrutura de monitoramento e análise destinada a identificar operações ou situações suspeitas de lavagem de dinheiro ou financiamento do terrorismo, com base em perfil transacional e padrões de comportamento","devem manter","Obrigação regulatória","Crítica","Credenciador","","Monitoramento de transações — base para sistema antifraude e PLD/FT do credenciador"
"REG-CBCB3978-007","Circular BCB nº 3.978/2020 — PLD/FT","B3","Art. 7º","7","Comunicação de operações suspeitas ao COAF — prazo máximo de 24 horas","As instituições autorizadas devem comunicar ao COAF as operações suspeitas identificadas, no prazo máximo de 24 horas da detecção, nas condições e forma estabelecidas pelo COAF","devem comunicar ao COAF; prazo máximo de 24 horas","Prazo","Crítica","Credenciador","","Prazo de 24h para comunicação ao COAF — processo crítico de compliance regulatório"
"REG-CBCB3978-008","Circular BCB nº 3.978/2020 — PLD/FT","B3","Art. 8º","8","Vedação de relacionamento com shell companies e jurisdições sancionadas","É vedado às instituições autorizadas manter relação de negócio com empresas de fachada (shell companies), entidades sem transparência de beneficiário final e clientes de países ou jurisdições com deficiências estratégicas de PLD/FT identificadas pelo GAFI","é vedado","Proibição","Crítica","Credenciador","","Due diligence de beneficiário final obrigatória — bloqueio de merchants suspeitos"
"REG-CBCB3978-009","Circular BCB nº 3.978/2020 — PLD/FT","B3","Art. 9º","9","Identificação e atualização do beneficiário final de pessoas jurídicas","As instituições autorizadas devem identificar e manter atualizado o cadastro do beneficiário final de pessoas jurídicas clientes — a pessoa natural que, em última instância, as controla ou em nome de quem uma transação é conduzida","devem identificar e manter","Obrigação regulatória","Crítica","Credenciador","","Beneficiário final de merchants PJ — KYC reforçado no onboarding"
"REG-CBCB3978-010","Circular BCB nº 3.978/2020 — PLD/FT","B3","Art. 11","11","Programa periódico de treinamento e capacitação em PLD/FT","As instituições autorizadas devem implementar programas de treinamento e capacitação em PLD/FT, de caráter periódico, para todos os funcionários, de acordo com as funções e responsabilidades de cada um","devem implementar","Obrigação regulatória","Alta","Credenciador","","Treinamento PLD/FT — programa formal e periódico obrigatório para toda a equipe"
"REG-CBCB3978-011","Circular BCB nº 3.978/2020 — PLD/FT","B3","Art. 12","12","Retenção de registros de operações e dados de clientes por 5 anos","As instituições autorizadas devem manter registros de todas as operações realizadas, bem como dos documentos e informações obtidos na identificação de clientes, pelo prazo mínimo de 5 anos","devem manter registros; prazo mínimo de 5 anos","Prazo","Crítica","Credenciador","","5 anos de retenção — inclui dados de estabelecimentos e transações"
"REG-CBCB3978-012","Circular BCB nº 3.978/2020 — PLD/FT","B3","Art. 14","14","Avaliação interna de risco PLD/FT por produtos, clientes, canais e jurisdições","As instituições autorizadas devem realizar avaliação interna de risco, identificando e classificando os riscos de lavagem de dinheiro e financiamento do terrorismo inerentes às suas atividades, considerando produtos, serviços, clientes, canais e jurisdições","devem realizar","Obrigação regulatória","Crítica","Credenciador","","Risk assessment PLD/FT — deve cobrir Pix, cartões, BNPL, BaaS e restaurantes"
"REG-CBCB3978-013","Circular BCB nº 3.978/2020 — PLD/FT","B3","Art. 15","15","Indicação de diretor responsável pela PLD/FT (MLRO)","As instituições autorizadas devem indicar diretor responsável pela execução da política e pelo cumprimento das obrigações previstas nesta Circular, admitida a cumulação com outras funções","devem indicar","Obrigação regulatória","Alta","Credenciador","","Diretor MLRO — registro e indicação formal ao BCB obrigatórios"
"REG-CBCB3978-014","Circular BCB nº 3.978/2020 — PLD/FT","B3","Art. 16","16","Relatório anual de efetividade do programa PLD/FT para administradores","O diretor responsável deve apresentar aos administradores seniores, ao menos anualmente, relatório sobre a efetividade do programa de PLD/FT, avaliando a adequação das políticas, procedimentos e controles implementados","deve apresentar; ao menos anualmente","Prazo","Alta","Credenciador","","Relatório anual PLD/FT para Board — ciclo de governança de compliance"
"REG-Rbcb344-001","Resolução BCB nº 344/2024","B1","Art. 1º","1","Atualização das condições regulatórias para IPs em 2024","Esta Resolução altera e complementa as regras aplicáveis às instituições de pagamento, quanto à autorização para funcionamento, requisitos de capital, governança e reporte ao Banco Central do Brasil","altera e complementa","Obrigação regulatória","Alta","Credenciador","⚠️ Verificar","Normativo de 2024 — verificar impacto na autorização e PL do iFood Pago"
"REG-Rbcb344-002","Resolução BCB nº 344/2024","B6","Art. 3º","3","Requisitos atualizados de capital e PL para credenciadores baseados em risco","As instituições de pagamento na modalidade credenciador devem manter patrimônio líquido mínimo calculado com base no volume de operações processadas e nos riscos assumidos, conforme metodologia definida pelo Banco Central do Brasil","devem manter","Obrigação regulatória","Crítica","Credenciador","","PL mínimo atualizado em 2024 — impacto no planejamento financeiro do iFood Pago"
"REG-Rbcb344-003","Resolução BCB nº 344/2024","B9","Art. 5º","5","Gerenciamento de riscos e controles internos atualizados","As instituições de pagamento devem implementar estrutura de gerenciamento de riscos e controles internos compatível com seu perfil de risco, adotando mecanismos de avaliação e monitoramento contínuos","devem implementar","Obrigação regulatória","Alta","Credenciador","","Governança atualizada pela Resolução 344/2024"
"REG-Rbcb344-004","Resolução BCB nº 344/2024","B1","Art. 7º","7","Prazo de adequação às novas exigências regulatórias","As instituições de pagamento já autorizadas devem adaptar-se às novas exigências desta Resolução no prazo estabelecido pelo Banco Central do Brasil, de no mínimo 12 meses","devem adaptar-se; prazo mínimo de 12 meses","Prazo","Alta","Credenciador","⚠️ Verificar","Prazo de adequação — relevante para a transição subcredenciador→credenciador"
"REG-Rbcb80-001","Resolução BCB nº 80/2021","B6","Art. 1º","1","Requisitos prudenciais aplicáveis às IPs — capital e alavancagem","Esta Resolução estabelece os requisitos prudenciais aplicáveis às instituições de pagamento, incluindo limites de capital, alavancagem e concentração de riscos","estabelece os requisitos prudenciais","Obrigação regulatória","Crítica","Credenciador","","Regulação prudencial — base para PL e requisitos de capital do credenciador"
"REG-Rbcb80-002","Resolução BCB nº 80/2021","B6","Art. 3º","3","Capital mínimo absoluto para credenciador — R$ 1 milhão","As instituições de pagamento na modalidade credenciador devem manter capital mínimo de R$ 1.000.000,00 (um milhão de reais), sem prejuízo dos demais requisitos de capital baseados no perfil de risco","devem manter capital mínimo","Obrigação regulatória","Crítica","Credenciador","⚠️ Verificar","Capital mínimo absoluto — confirmar valor atual com BCB e calcular PRE específico do iFood Pago"
"REG-Rbcb80-003","Resolução BCB nº 80/2021","B6","Art. 5º","5","Patrimônio de Referência (PR) deve ser igual ou superior ao Exigido (PRE)","As instituições de pagamento devem manter Patrimônio de Referência (PR) igual ou superior ao Patrimônio de Referência Exigido (PRE), calculado com base nos ativos ponderados pelos riscos de crédito, operacional e de mercado","devem manter PR igual ou superior ao PRE","Obrigação regulatória","Crítica","Credenciador","","PRE vs PR — metodologia de capital baseada em risco"
"REG-Rbcb80-004","Resolução BCB nº 80/2021","B9","Art. 8º","8","Estrutura mínima de gerenciamento de riscos de crédito, operacional, mercado e liquidez","As instituições de pagamento devem implementar estrutura de gerenciamento dos riscos de crédito, operacional, de mercado e de liquidez, compatível com a natureza, complexidade e perfil de risco de suas atividades","devem implementar","Obrigação regulatória","Alta","Credenciador","","Gestão de riscos estruturada — os 4 riscos prudenciais"
"REG-Rbcb80-005","Resolução BCB nº 80/2021","B6","Art. 10","10","Limites de concentração de riscos — exposição máxima","As instituições de pagamento devem estabelecer e monitorar limites de exposição a risco de crédito, operacional e de mercado, evitando concentrações que possam ameaçar sua solidez","devem estabelecer e monitorar","Obrigação regulatória","Alta","Credenciador","","Gestão de concentração — relevante para portfólio de estabelecimentos do iFood Pago"
"REG-Rbcb80-006","Resolução BCB nº 80/2021","B9","Art. 12","12","Auditoria interna independente das áreas operacionais","As instituições de pagamento devem manter estrutura de auditoria interna, independente das áreas operacionais, com acesso irrestrito às informações necessárias para avaliação dos controles internos","devem manter","Obrigação regulatória","Alta","Credenciador","","Auditoria interna independente — obrigação de governança"
"REG-RCMN4893-001","Resolução CMN nº 4.893/2021","B10","Art. 2º","2","Política de segurança cibernética documentada e aprovada pelo Board","As instituições autorizadas devem implementar e manter política de segurança cibernética formulada com base em princípios e diretrizes que norteiem os programas de segurança cibernética, aprovada pelo conselho de administração ou, na ausência deste, pela diretoria","devem implementar e manter","Obrigação regulatória","Crítica","Credenciador","","Política ciber aprovada pelo Board — documento formal obrigatório"
"REG-RCMN4893-002","Resolução CMN nº 4.893/2021","B5","Art. 3º","3","Conteúdo mínimo obrigatório da política de segurança cibernética","A política de segurança cibernética deve abranger, no mínimo: I - objetivos de segurança; II - procedimentos e controles adotados; III - controles de acesso à informação; IV - registro, análise e controle de incidentes; V - iniciativas para disseminação da cultura de segurança","deve abranger no mínimo","Requisito técnico","Crítica","Credenciador","","Conteúdo mínimo da política — gap analysis com política atual do iFood Pago"
"REG-RCMN4893-003","Resolução CMN nº 4.893/2021","B10","Art. 4º","4","Plano de ação e resposta a incidentes de segurança cibernética (IRP)","As instituições autorizadas devem elaborar e implementar plano de ação e de resposta a incidentes de segurança cibernética, com iniciativas para adequação da estrutura, dos procedimentos e dos controles","devem elaborar e implementar","Obrigação regulatória","Crítica","Credenciador","","IRP (Incident Response Plan) — aprovação formal da diretoria obrigatória"
"REG-RCMN4893-004","Resolução CMN nº 4.893/2021","B10","Art. 5º","5","Testes periódicos de segurança cibernética (pentest, simulações, VA)","As instituições autorizadas devem realizar testes periódicos de segurança cibernética, incluindo testes de penetração (pentest), simulações de ataques e avaliações de vulnerabilidades, com frequência compatível com a natureza das atividades","devem realizar testes periódicos","Obrigação regulatória","Alta","Credenciador","","Pentest e VA — frequência definida internamente com base em avaliação de risco"
"REG-RCMN4893-005","Resolução CMN nº 4.893/2021","B5","Art. 6º","6","Comunicação de incidentes cibernéticos relevantes ao Banco Central","As instituições autorizadas devem comunicar ao Banco Central do Brasil incidentes relevantes de segurança cibernética, conforme critérios e prazos estabelecidos pelo BCB","devem comunicar ao BCB","Prazo","Crítica","Credenciador","","Notificação de incidente ciber ao BCB — verificar prazo vigente"
"REG-RCMN4893-006","Resolução CMN nº 4.893/2021","B5","Art. 7º","7","Requisitos contratuais para contratação de serviços em nuvem","As instituições autorizadas devem, ao contratar serviços de nuvem, assegurar: I - acesso ao BCB para fiscalização; II - localização dos dados no Brasil ou em países com legislação equivalente; III - garantia de continuidade dos serviços; IV - plano de saída","devem assegurar","Requisito técnico","Alta","Credenciador","","Cloud compliance — requisitos contratuais para AWS, GCP, Azure e outros provedores"
"REG-RCMN4893-007","Resolução CMN nº 4.893/2021","B10","Art. 8º","8","Relatório anual com resultados de testes de penetração e análises de vulnerabilidade","As instituições autorizadas devem elaborar relatório anual com os resultados de testes de penetração e análises de vulnerabilidade, medidas adotadas para correção de falhas e avaliação da efetividade dos controles","devem elaborar; anualmente","Prazo","Alta","Credenciador","","Relatório anual de ciber — ciclo anual de governança"
"REG-RCMN4893-008","Resolução CMN nº 4.893/2021","B10","Art. 11","11","Responsabilidade da diretoria — designação de diretor CISO","A diretoria das instituições autorizadas é responsável por garantir a implementação da política de segurança cibernética, devendo designar diretor responsável pela área de segurança cibernética","é responsável; devendo designar","Obrigação regulatória","Alta","Credenciador","","CISO formal — responsabilidade da diretoria pela política ciber"
"REG-RCMN4893-009","Resolução CMN nº 4.893/2021","B10","Art. 12","12","Continuidade de negócios e plano de recuperação de desastres","As instituições autorizadas devem manter plano de continuidade de negócios e de recuperação de desastres, com testes periódicos, abrangendo os cenários de maior risco para as atividades críticas","devem manter","Obrigação regulatória","Alta","Credenciador","","BCP/DRP — obrigação formal com testes periódicos documentados"
"REG-Rbcb01-001","Resolução BCB nº 1/2020 — Open Finance","B1","Art. 3º","3","Participação facultativa de IPs no Open Finance — iFood Pago optou por participar","As instituições participantes do Open Finance se classificam em: I - participantes obrigatórios: IFs de grande porte; II - participantes facultativos: demais instituições autorizadas pelo BCB, incluindo instituições de pagamento","classificam-se","Obrigação regulatória","Alta","Credenciador","","iFood Pago é participante facultativo — assumiu compromisso de participação"
"REG-Rbcb01-002","Resolução BCB nº 1/2020 — Open Finance","B9","Art. 5º","5","Requisitos técnicos e de segurança para participação no Open Finance","As instituições participantes do Open Finance devem implementar mecanismos de autenticação segura (FAPI), consentimento do usuário, rastreabilidade de acessos e resposta a incidentes, em conformidade com padrões técnicos do BCB e do diretório do Open Finance Brasil","devem implementar","Requisito técnico","Alta","Credenciador","","Padrões FAPI + consentimento — obrigações como IP participante do Open Finance"
"REG-Rbcb01-003","Resolução BCB nº 1/2020 — Open Finance","B1","Art. 7º","7","Obrigações do ITP: autorização BCB, consentimento por transação, não armazenamento","O iniciador de transação de pagamento deve: I - ser autorizado pelo BCB; II - obter consentimento do usuário para cada transação; III - não armazenar dados de pagamento além do necessário; IV - garantir autenticidade e integridade das mensagens","deve","Obrigação regulatória","Alta","Credenciador","","Papel ITP do iFood Pago — requisitos específicos para iniciação de pagamentos"
"REG-Rbcb01-004","Resolução BCB nº 1/2020 — Open Finance","B9","Art. 9º","9","Gerenciamento de consentimento — visualização e revogação pelo titular","As instituições participantes devem garantir ao usuário a possibilidade de gerenciar, visualizar e revogar consentimentos a qualquer tempo, por meio de interface de fácil acesso e em linguagem clara","devem garantir","Obrigação regulatória","Alta","Credenciador","","Interface de gerenciamento de consentimento — obrigação UX/produto"
"REG-Rbcb01-005","Resolução BCB nº 1/2020 — Open Finance","B1","Art. 10","10","Registro e compartilhamento de dados de consentimento no diretório","As instituições participantes do Open Finance devem registrar no diretório do Open Finance Brasil os dados de consentimento concedidos pelos usuários, mantendo os registros atualizados e acessíveis ao titular","devem registrar","Obrigação regulatória","Alta","Credenciador","","Diretório Open Finance — obrigação de registro e atualização de consentimentos"
"REG-BCBCADOC-001","BCB — CADOC 6334 Credenciadores (Doc. BCB)","B8","Seção 1 — Introdução","3","Obrigação de envio do CADOC 6334 pelas credenciadoras autorizadas pelo BCB","O objetivo deste documento é servir como material de referência para os responsáveis pela elaboração e envio das informações referentes aos cartões de pagamentos, definidas pela Instrução Normativa BCB nº 247, de 24 de março de 2022. Instituição não autorizada a funcionar pelo BCB NÃO deve enviar o documento ou solicitar dispensa de envio.","deve enviar","Obrigação regulatória","Crítica","Credenciador","","Base: Instrução Normativa BCB nº 247/2022 — código do documento: 6334, sistema: STA"
"REG-BCBCADOC-002","BCB — CADOC 6334 Credenciadores (Doc. BCB)","B8","Seção 2 — Especificações","4","Periodicidade trimestral com prazo no último dia útil do mês seguinte","Periodicidade da Remessa: trimestral; Data-limite para Remessa: último dia útil do mês subsequente ao fim do trimestre civil; Forma de Remessa: meio eletrônico; Sistema para Remessa: Sistema de Transferência de Arquivos (STA); Código ASPB034; Formato: TXT ISO 8859-1","último dia útil do mês subsequente ao fim do trimestre civil","Prazo","Crítica","Credenciador","","Datas de entrega: 31/01 (T4), 30/04 (T1), 31/07 (T2), 31/10 (T3) — último dia útil"
"REG-BCBCADOC-003","BCB — CADOC 6334 Credenciadores (Doc. BCB)","B8","Seção 3.1 — SEGMENTO","5","Definição e manutenção de código fixo para cada segmento de mercado","O credenciador deverá definir código para cada segmento de mercado utilizado para agrupar estabelecimentos. Deverá ser criado um código fixo para cada segmento ao longo do tempo. Caso haja mudança de critério, os segmentos maiores deverão receber novo código.","deverá definir; deverá ser criado","Obrigação regulatória","Alta","Credenciador","","Segmentação de MCC — código fixo ao longo da série histórica; mudança requer novo código"
"REG-BCBCADOC-004","BCB — CADOC 6334 Credenciadores (Doc. BCB)","B8","Seção 3.2 — RANKING","6","Reportar top-15 e bottom-200 estabelecimentos por segmento com ID estável","Para cada segmento informado, este arquivo apresenta informações referentes às transações efetuadas nos quinze estabelecimentos com maior volume financeiro e nos duzentos com menor volume. A identificação do estabelecimento deve ser única e válida para toda a série.","deve ser única e válida para toda a série","Requisito técnico","Alta","Credenciador","","Top-15 e bottom-200 por segmento — ID estável mesmo com mudança de razão social"
